trainable params: 20,971,520 || all params: 2,796,180,480 || trainable%: 0.7500
{'loss': 26.3466, 'grad_norm': 11.824904441833496, 'learning_rate': 0.0001828397212543554, 'epoch': 0.11}
{'loss': 26.8349, 'grad_norm': 9.608879089355469, 'learning_rate': 0.000182404181184669, 'epoch': 0.12}
{'loss': 24.4855, 'grad_norm': 13.828559875488281, 'learning_rate': 0.0001819686411149826, 'epoch': 0.12}
{'loss': 23.7536, 'grad_norm': 10.542376518249512, 'learning_rate': 0.00018153310104529618, 'epoch': 0.12}
{'loss': 25.2533, 'grad_norm': 15.591407775878906, 'learning_rate': 0.00018109756097560976, 'epoch': 0.12}
{'loss': 26.7175, 'grad_norm': 11.613309860229492, 'learning_rate': 0.00018066202090592334, 'epoch': 0.12}
{'loss': 22.9227, 'grad_norm': 9.75995922088623, 'learning_rate': 0.00018022648083623695, 'epoch': 0.13}
{'loss': 26.3418, 'grad_norm': 9.195343971252441, 'learning_rate': 0.00017979094076655053, 'epoch': 0.13}
{'loss': 25.4931, 'grad_norm': 10.39293384552002, 'learning_rate': 0.0001793554006968641, 'epoch': 0.13}
{'loss': 26.0784, 'grad_norm': 8.338920593261719, 'learning_rate': 0.00017891986062717772, 'epoch': 0.13}
{'loss': 24.2295, 'grad_norm': 6.024148941040039, 'learning_rate': 0.0001784843205574913, 'epoch': 0.14}
{'loss': 25.3182, 'grad_norm': 9.122498512268066, 'learning_rate': 0.00017804878048780488, 'epoch': 0.14}
{'loss': 24.8228, 'grad_norm': 20.60162925720215, 'learning_rate': 0.00017761324041811846, 'epoch': 0.14}
{'loss': 26.4018, 'grad_norm': 7.446924686431885, 'learning_rate': 0.00017717770034843207, 'epoch': 0.14}
{'loss': 25.9404, 'grad_norm': 15.85164737701416, 'learning_rate': 0.00017674216027874565, 'epoch': 0.14}
{'loss': 25.6805, 'grad_norm': 10.063648223876953, 'learning_rate': 0.00017630662020905923, 'epoch': 0.15}
{'loss': 24.9882, 'grad_norm': 12.88148021697998, 'learning_rate': 0.00017587108013937284, 'epoch': 0.15}
{'loss': 22.446, 'grad_norm': 7.025035858154297, 'learning_rate': 0.00017543554006968642, 'epoch': 0.15}
{'loss': 27.4265, 'grad_norm': 13.09588623046875, 'learning_rate': 0.000175, 'epoch': 0.15}
{'loss': 25.3715, 'grad_norm': 23.32253074645996, 'learning_rate': 0.0001745644599303136, 'epoch': 0.15}
{'loss': 25.7441, 'grad_norm': 8.506781578063965, 'learning_rate': 0.0001741289198606272, 'epoch': 0.16}
{'loss': 24.4128, 'grad_norm': 9.376160621643066, 'learning_rate': 0.00017369337979094077, 'epoch': 0.16}
{'loss': 24.7814, 'grad_norm': 13.476080894470215, 'learning_rate': 0.00017325783972125435, 'epoch': 0.16}
{'loss': 27.5644, 'grad_norm': 9.205418586730957, 'learning_rate': 0.00017282229965156796, 'epoch': 0.16}
